Movie,Actor,Strength
Ghost Ship,Sean Connery,1.6
Gestolene Herzen (Two If by Sea),Sean Connery,0.5
Mission: Impossible,Sean Connery,0.5
Mit aller Macht (Primary Colors),Sean Connery,0.5
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Sean Connery,0.4
Band of Brothers (Wir waren wie Brüder),Sean Connery,0.2
Chliine Iisbär - Em Nanouk sini Rettig,Sean Connery,0.2
Dumbo,Sean Connery,0.15
Jagdfieber (Open Season),Sean Connery,0.1
"Ende, Das (Assault on Precinct 13)",Sean Connery,1.8
Cinderella,Sean Connery,1.35
Alatriste,Sean Connery,1.26
Flags of Our Fathers,Sean Connery,0.81
"Ghostwriter, Der",Sean Connery,0.765
Flug 93 (United 93),Sean Connery,0.72
Sennentuntschi,Sean Connery,0.495
Million Dollar Baby,Sean Connery,0.45
Final Cut,Sean Connery,0.225
Iron Man,Sean Connery,0.225
Kaltes Blut (Infamous),Sean Connery,0.18
Oblivion,Sean Connery,0.18
"Fähnlein der sieben Aufrechten, Das",Sean Connery,0.135
Casanova,Sean Connery,0.09
E-Mail für dich (You've Got Mail),Sean Connery,0.09
Hercules,Sean Connery,0.09
Mary Poppins,Sean Connery,0.2
Robin Hood: Prince of Thieves,Sean Connery,0.2
Se7en,Sean Connery,0.2
Captain Corelli's Mandolin,Sean Connery,0.16
Haven - Staffel 1,Sean Connery,0.16
Lord of the Rings I - The Fellowship,Sean Connery,0.16
Shrek 2,Sean Connery,0.16
"Hölle Vietnams, Die (A Bright Shining Lie)",Sean Connery,0.12
Operation Walküre - Stauffenberg Attentat ,Sean Connery,0.12
Exit,Sean Connery,0.08
"Maulwurf, Der - Und seine Freunde",Sean Connery,0.08
Mein Name ist Eugen,Sean Connery,0.064
Fahrenheit 9/11,Sean Connery,0.04
"Girl with the Dragon Tattoo, The (Verblendung)",Sean Connery,0.04
Hangover,Sean Connery,0.04
Haven - Staffel 2,Sean Connery,0.04
Keinohrhasen,Sean Connery,0.04
Krieg der Welten (War of the Worlds),Sean Connery,0.04
LOST - Staffel 6,Sean Connery,0.04
Mercury Rising,Sean Connery,0.04
"Others, The",Sean Connery,0.04
"Pakt, Der (The Couvenant)",Sean Connery,0.04
Shaft,Sean Connery,0.04
Catwoman,Sean Connery,0.032
Coyote Ugly,Sean Connery,0.032
Notting Hill,Sean Connery,0.024
Final Destination,Sean Connery,0.035
Far and Away (In einem Fernen Land),Sean Connery,0.007
Harry Potter V - Orden des Phönix,Sean Connery,0.007
"Schöne und das Biest, Die",Sean Connery,0.007
So was wie Liebe (A Lot Like Love),Sean Connery,0.007
Black Swan,Sean Connery,0.0035
"Eiskönigin, Die (Frozen)",Sean Connery,0.0035
"Dschungelbuch, Das",Sean Connery,0.00175
"Maulwurf, Der - Abenteuer als Fotograf",Sean Connery,0.00175
Chaos,Sean Connery,0.0015
Sennentuntschi,Roger Moore,3.6
Grosse Haie - Kleine Fische (Shark Tale),Roger Moore,2.25
"Pakt, Der (The Couvenant)",Roger Moore,0.9
Haven - Staffel 1,Roger Moore,0.45
Bone Collector,Roger Moore,0.2
"Maulwurf, Der - Und seine Freunde",Roger Moore,0.2
Krieg der Welten (War of the Worlds),Roger Moore,0.008
"Sissi, die junge Kaiserin",Pierce Brosnan,1
Mimic,Pierce Brosnan,0.765
Constantine,Pierce Brosnan,0.675
Romeo + Juliet,Pierce Brosnan,0.585
LOST - Staffel 5,Pierce Brosnan,0.54
Luftbrücke - Nur der Himmel war frei,Pierce Brosnan,0.495
Catch Me if You Can,Pierce Brosnan,0.45
Monty Python and the Holy Grail,Pierce Brosnan,0.72
Keeping the Faith,Pierce Brosnan,0.64
"Longest Day, The",Pierce Brosnan,0.56
Hoch klingt der Radetzkymarsch,Pierce Brosnan,0.08
"Arielle, die Meerjungfrau",Pierce Brosnan,0.003
Conspiracy.com,Timothy Dalton,1.1
ROM - 1. Staffel,Timothy Dalton,1
Liebe und Eis (The Cutting Edge),Timothy Dalton,0.75
Nur mit dir (A Walk To Remember),Timothy Dalton,0.81
"Maulwurf, Der - Abenteuer mit dem Igel",Timothy Dalton,0.72
"Missing, The",Timothy Dalton,0.63
On the Line,Timothy Dalton,0.36
"Schwester der Königin, Die",Timothy Dalton,0.27
"Illusionist, The",Timothy Dalton,0.48
"Baader Meinhof Komplex, Der",Timothy Dalton,0.12
Exit,Timothy Dalton,0.12
Lord of the Rings I - The Fellowship,Timothy Dalton,0.12
Breaking and Entering,Timothy Dalton,0.03
Alexander,George Lazenby,1
Pinocchio,George Lazenby,0.75
"Missing, The",George Lazenby,0.45
"International, The",George Lazenby,0.28
"Duchess, The (Die Herzogin)",George Lazenby,0.07
My Super Ex-Girlfriend,George Lazenby,0.035
Anastasia,Sean Connery,0.9
Blow,Sean Connery,0.81
Plötzlich Prinzessin,Sean Connery,0.45
Prinzessin Fantaghiro,Sean Connery,0.64
Art of War,Sean Connery,0.56
Niko - Ein Rentier hebt ab,Sean Connery,0.28
Pate I (The Godfather),Sean Connery,0.07
My Super Ex-Girlfriend,Klaus Maria Brandauer,1.125
Australia,Klaus Maria Brandauer,0.9
"Haus am See, Das (The Lake House)",Klaus Maria Brandauer,0.855
City of Angels (Stadt der Engel),Max von Sydow,0.9
Gladiator,Max von Sydow,0.81
Anastasia,Max von Sydow,0.45
Blow,Max von Sydow,0.36
Plötzlich Prinzessin,Max von Sydow,0.32
Prinzessin Fantaghiro,Max von Sydow,0.32
No Country for old Men,Max von Sydow,0.2
Poseidon,Max von Sydow,0.16
Art of War,Max von Sydow,0.08
Niko - Ein Rentier hebt ab,Max von Sydow,0.245
Breaking and Entering,Max von Sydow,0.035
Hangover 3,Barbara Carrera,0.81
Perfect World,Barbara Carrera,0.72
Aladdin,Barbara Carrera,0.63
McLeods Töchter: Staffel 6,Barbara Carrera,0.45
Babel,Kim Basinger,1.25
Before Sunrise,Kim Basinger,0.675
Gladiator,Bernie Casey,1
Metro,Bernie Casey,0.765
ROM - 1. Staffel,Bernie Casey,0.72
San Andreas,Bernie Casey,0.45
Fantastic Four,Bernie Casey,0.315
Oblivion,Bernie Casey,0.27
Annie,Bernie Casey,0.225
"Maulwurf, Der - In der Stadt",Bernie Casey,0.135
Jagdfieber (Open Season),Bernie Casey,0.09
No Country for old Men,Bernie Casey,0.09
I.Q.,Bernie Casey,0.4
Bones: Die Knochenjägerin (Season 5),Bernie Casey,0.28
Anastasia,Bernie Casey,0.16
Liebe und Eis (The Cutting Edge),Bernie Casey,0.16
"Eiskönigin, Die (Frozen)",Bernie Casey,0.12
"Last Days on Mars, The",Bernie Casey,0.12
Apocalypse Now,Bernie Casey,0.08
"Asterix, sieg über Cäsar",Bernie Casey,0.08
I am Legend,Bernie Casey,0.08
Niko - Ein Rentier hebt ab,Bernie Casey,0.08
Poseidon,Bernie Casey,0.08
Blow,Bernie Casey,0.064
Cool Runnings,Bernie Casey,0.064
Ice Age 1,Bernie Casey,0.064
Final Destination,Bernie Casey,0.048
Prinzessin Fantaghiro,Bernie Casey,0.04
Harry Potter V - Orden des Phönix,Bernie Casey,0.016
Dirty Dancing 2,Bernie Casey,0.008
Art of War,Bernie Casey,0.035
Mimic,Bernie Casey,0.035
Before Sunrise,Bernie Casey,0.007
Breaking and Entering,Bernie Casey,0.007
Daredevil,Bernie Casey,0.007
Ice Age 2: The Meltdown,Bernie Casey,0.007
Kundun,Bernie Casey,0.007
LOST - Staffel 5,Bernie Casey,0.007
Monty Python and the Holy Grail,Bernie Casey,0.007
Plötzlich Prinzessin,Bernie Casey,0.007
Pate I (The Godfather),Bernie Casey,0.006
"Last Days on Mars, The",Sean Connery,0.9
Art of War,Sean Connery,0.8
Plötzlich Prinzessin,Sean Connery,0.8
I am Legend,Sean Connery,0.72
Prinzessin Fantaghiro,Sean Connery,0.64
Poseidon,Sean Connery,0.56
Mimic,Sean Connery,0.48
Blow,Sean Connery,0.4
Before Sunrise,Sean Connery,0.12
"Deutschmeister, Die",Jack Lord,0.9
"Braut des Prinzen, Die",Jack Lord,0.81
"Longest Day, The",Jack Lord,0.64
Romeo + Juliet,Jack Lord,0.56
Prinzessin Fantaghiro,Jack Lord,0.48
Emma,Jack Lord,0.4
"Kill Bill, Volume 1",Jack Lord,0.32
Dirty Dancing 2,Jack Lord,0.21
Mimic,Jack Lord,0.14
LOST - Staffel 5,Jack Lord,0.07
Paycheck,Joseph Wiseman,1.35
Hamburger Hill,Joseph Wiseman,1.125
Sandmännchen - Gute Nacht Geschichten,Joseph Wiseman,0.81
Next,Joseph Wiseman,0.72
"Asterix, sieg über Cäsar",Joseph Wiseman,0.54
"Da Vinci Code, The",Joseph Wiseman,0.36
"Score, The",Joseph Wiseman,0.8
Cars 2,Joseph Wiseman,0.56
Harry Potter V - Orden des Phönix,Joseph Wiseman,0.2
Küss den Frosch,Joseph Wiseman,0.14
Lola Rennt,Ursula Andress,1.25
"Family Stone, The",Ursula Andress,0.9
Flags of Our Fathers,Zena Marshall,1.25
Anna Karenina,Zena Marshall,0.9
Chocolat,Eunice Gayson,2
McLeods Töchter: Staffel 7,Eunice Gayson,1.2
"Krieger und die Kaiserin, Der",Eunice Gayson,1
McLeods Töchter: Staffel 6,Eunice Gayson,0.8
Besessen,Eunice Gayson,0.5
Head in the Clouds,Eunice Gayson,0.5
Plötzlich Prinzessin 2,Eunice Gayson,0.4
Final Destination,Eunice Gayson,0.36
Aus nächster Nähe (Up Close & Personal),Eunice Gayson,0.315
Sixth Sense,Eunice Gayson,0.27
Rio 2,Eunice Gayson,0.18
Polar Express,Eunice Gayson,0.036
"Fähnlein der sieben Aufrechten, Das",Eunice Gayson,0.027
Shaft,Eunice Gayson,0.018
Oblivion,Eunice Gayson,0.009
"Pakt, Der (The Couvenant)",Eunice Gayson,0.009
"Maulwurf, Der - Abenteuer mit dem Igel",Eunice Gayson,0.144
Mission: Impossible,Eunice Gayson,0.12
Kaltes Blut (Infamous),Eunice Gayson,0.08
"Last Days on Mars, The",Eunice Gayson,0.08
Perfect World,Eunice Gayson,0.016
Final Cut,Eunice Gayson,0.008
Operation: Kingdom,Eunice Gayson,0.008
Catwoman,Eunice Gayson,0.004
Lord of the Rings I - The Fellowship,Eunice Gayson,0.004
Mercury Rising,Eunice Gayson,0.004
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Eunice Gayson,0.004
"Others, The",Eunice Gayson,0.004
Monty Python and the Holy Grail,Eunice Gayson,0.007
Gestolene Herzen (Two If by Sea),Eunice Gayson,0.0035
Ritter und Burgen (WAS IST WAS),Eunice Gayson,0.006
Harry Potter V - Orden des Phönix,Eunice Gayson,0.003
Jagdfieber (Open Season),Eunice Gayson,0.003
LOST - Staffel 5,Eunice Gayson,0.003
Drei Haselnüsse für Aschenbrödel,Sean Connery,1.4
Gothika,Sean Connery,3.15
Pakt der Wölfe (Brotherhood of the Wolf),Sean Connery,1.44
Monsters University,Sean Connery,2
Drachenzähmen (How to Train Your Dragon),Sean Connery,1.05
Schindler's List,Sean Connery,0.42
Robots,Sean Connery,0.36
"Reader, The (Der Vorleser)",Sean Connery,0.3
Amistad,Sean Connery,0.24
McLeods Töchter: Staffel 2,Sean Connery,0.28
LOST - Staffel 4,Sean Connery,0.06
"Social Network, The",Sean Connery,0.06
Breaking and Entering,Sean Connery,0.035
"Dschungelbuch, Das",Sean Connery,0.06
Krieg der Welten (War of the Worlds),Sean Connery,0.006
Solange du da bist (Just Like Heaven),Daniela Bianchi,1
Alatriste,Daniela Bianchi,0.99
Che: Part Two,Daniela Bianchi,0.81
Pakt der Wölfe (Brotherhood of the Wolf),Daniela Bianchi,1.05
Männerpension,Daniela Bianchi,0.64
McLeods Töchter: Staffel 2,Daniela Bianchi,0.56
Red Planet,Daniela Bianchi,0.48
LOST - Staffel 5,Daniela Bianchi,0.4
Drei Haselnüsse für Aschenbrödel,Daniela Bianchi,0.875
Breaking and Entering,Daniela Bianchi,0.24
LOST - Staffel 1,Pedro Armendariz,1.25
Pirates of the Caribbean III: At World's End,Pedro Armendariz,0.9
Bus(c)h Piloten,Pedro Armendariz,0.9
Hart am Limit (Torque),Pedro Armendariz,0.72
Next Door (Naboer),Pedro Armendariz,0.6
Mit aller Macht (Primary Colors),Lotte Lenya,0.9
Robin Hood: Prince of Thieves,Lotte Lenya,0.855
Iron Man,Lotte Lenya,0.81
Argo,Lotte Lenya,0.765
Dumbo,Lotte Lenya,0.72
Far and Away (In einem Fernen Land),Lotte Lenya,0.08
Krieg der Welten (War of the Worlds),Lotte Lenya,0.04
Coyote Ugly,Lotte Lenya,0.008
Alexander,Robert Shaw,1
Evelyn,Bernard Lee,4.5
Monsters University,Sean Connery,7
Gothika,Sean Connery,2.7
Gothika,Sean Connery,0.9
Happy Feet,Sean Connery,0.72
"Sissi, Schicksalsjahre einer Kaiserin",Sean Connery,0.45
Down in the Valley,Sean Connery,0.18
Inglorious Basterds,Sean Connery,0.135
"Pompeji, Die letzten Tage von Pompeji",Sean Connery,0
Harry Potter III - Gefangene von Askaban,Sean Connery,0.32
Harry Potter II - Kammer des Schreckens,Sean Connery,0.28
"Butterfly Effect 2, The",Sean Connery,0.16
"Chef zum Verlieben, Ein (Two weeks notice)",Gert Frobe,1
"Golden Compass, The",Gert Frobe,0.9
Rambo IV,Gert Frobe,0.81
"International, The",Gert Frobe,0.585
Cowboys and Aliens,Gert Frobe,0.495
Hearts in Atlantis,Gert Frobe,0.405
Mission: Impossible II,Gert Frobe,0.225
Däumeline,Gert Frobe,0.28
Bridget Jones's Diary,Gert Frobe,0.12
"Duchess, The (Die Herzogin)",Gert Frobe,0.12
Batman Begins,Gert Frobe,0.035
Pirates of the Caribbean IV: Fremde Gezeiten,Gert Frobe,0.035
Ghost Rider,Gert Frobe,0.007
Knockin' on Heaven's Door,Gert Frobe,0.007
Monty Python and the Holy Grail,Gert Frobe,0.007
Robin Hood,Gert Frobe,0.007
"Ende, Das (Assault on Precinct 13)",Honor Blackman,2
Keinohrhasen,Honor Blackman,1.5
Chliine Iisbär - Em Nanouk sini Rettig,Honor Blackman,0.35
Flags of Our Fathers,Honor Blackman,1.575
Jagdfieber (Open Season),Honor Blackman,0.9
Alatriste,Honor Blackman,0.675
Million Dollar Baby,Honor Blackman,0.63
Oblivion,Honor Blackman,0.54
Iron Man,Honor Blackman,0.27
Haven - Staffel 2,Honor Blackman,0.225
Casanova,Honor Blackman,0.09
"Ghostwriter, Der",Honor Blackman,0.09
Ghost Ship,Honor Blackman,0.081
Mit aller Macht (Primary Colors),Honor Blackman,0.063
"Girl with the Dragon Tattoo, The (Verblendung)",Honor Blackman,0.24
Hercules,Honor Blackman,0.12
Robin Hood: Prince of Thieves,Honor Blackman,0.08
"Fähnlein der sieben Aufrechten, Das",Honor Blackman,0.024
Far and Away (In einem Fernen Land),Honor Blackman,0.008
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",Honor Blackman,0.014
Exit,Honor Blackman,0.007
Haven - Staffel 1,Honor Blackman,0.007
E-Mail für dich (You've Got Mail),Honor Blackman,0.0035
Krieg der Welten (War of the Worlds),Honor Blackman,0.0035
Flug 93 (United 93),Honor Blackman,0.012
Cars,Honor Blackman,0.006
Dumbo,Honor Blackman,0.003
D-Day 6.6.44,Shirley Eaton,2
"Reader, The (Der Vorleser)",Shirley Eaton,1.6
Dresden,Shirley Eaton,0.85
Männerpension,Shirley Eaton,0.75
"Island, The",Shirley Eaton,1.575
"Arielle, die Meerjungfrau",Shirley Eaton,1.305
Amistad,Shirley Eaton,0.9
Interstellar,Shirley Eaton,0.63
"Perfekte Verbrechen, Das (Fracture)",Shirley Eaton,0.495
Meet the Fockers,Shirley Eaton,0.225
Signs,Shirley Eaton,0.48
Barfuss,Shirley Eaton,0.08
"Kill Bill, Volume 1",Shirley Eaton,0.04
Schindler's List,Shirley Eaton,0.032
American Princess,Shirley Eaton,0.021
Dirty Dancing 2,Shirley Eaton,0.007
"Eiskönigin, Die (Frozen)",Shirley Eaton,0.007
Lola Rennt,Shirley Eaton,0.012
"Haus am See, Das (The Lake House)",Tania Mallett,1
Asterix in Amerika,Tania Mallett,0.855
Iron Man,Tania Mallett,0.72
Mit aller Macht (Primary Colors),Tania Mallett,0.63
Dumbo,Tania Mallett,0.54
Operation Walküre - Stauffenberg Attentat ,Tania Mallett,0.54
Coyote Ugly,Tania Mallett,0.45
Cube,Tania Mallett,0.18
"Ghostwriter, Der",Tania Mallett,0.32
Haven - Staffel 1,Tania Mallett,0.035
E-Mail für dich (You've Got Mail),Tania Mallett,0.084
